school_year,busbreakdown_id,run_type,bus_no,route_number,reason,schools_serviced,occurred_on,created_on,boro,bus_company_name,how_long_delayed,number_of_students_on_the_bus,has_contractor_notified_schools,has_contractor_notified_parents,have_you_alerted_opt,informed_on,incident_number,last_updated_on,breakdown_or_running_late,school_age_or_prek
2025-2026,2011858,Special Ed AM Run,964,M176,Heavy Traffic,"02563,02568,02991",2025-09-08 08:00:00,2025-09-08 08:19:00,Manhattan,ALL AMERICAN SCHOOL BUS CORP.,16-30 Min,0,Yes,Yes,No,2025-09-08 08:19:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2012012,General Ed PM Run,373,R9064,Delayed by School,"31072,31087",2025-09-08 15:30:00,2025-09-08 15:32:00,Staten Island,PIONEER TRANSPORTATION CORP,31-45 Min,0,No,No,No,2025-09-08 15:32:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2012164,Special Ed AM Run,1705,K914,Heavy Traffic,"17525,17594,17601",2025-09-09 07:15:00,2025-09-09 07:16:00,Brooklyn,EMPIRE CHARTER SERVICE INC,16-30 Min,2,No,No,No,2025-09-09 07:16:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2012284,Special Ed AM Run,13987,K200,Heavy Traffic,"21100,21370,21436,21472",2025-09-09 07:47:00,2025-09-09 08:02:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,11,No,No,No,2025-09-09 08:02:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2012409,Special Ed PM Run,6170,Q040,Heavy Traffic,28600,2025-09-09 13:25:00,2025-09-09 13:29:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-09-09 13:29:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2012535,Special Ed AM Run,5401,J832,Heavy Traffic,75565,2025-09-10 06:19:00,2025-09-10 06:20:00,New Jersey,NYC SCHOOL BUS UMBRELLA SERVICES,31-45 Min,0,No,No,No,2025-09-10 06:20:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2012666,Special Ed AM Run,9139,K506,Heavy Traffic,"16035,16457",2025-09-10 07:15:00,2025-09-10 07:29:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,5,Yes,Yes,No,2025-09-10 07:29:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2012805,Special Ed AM Run,3203,L544,Heavy Traffic,22286,2025-09-10 08:03:00,2025-09-10 08:05:00,Bronx,NYC SCHOOL BUS UMBRELLA SERVICES,16-30 Min,0,Yes,No,Yes,2025-09-10 08:05:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2012944,General Ed PM Run,576,X9084,Heavy Traffic,"11083,11378",2025-09-10 14:13:00,2025-09-10 14:19:00,Bronx,PIONEER TRANSPORTATION CORP,0-15 Min,0,Yes,No,No,2025-09-10 14:19:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2013063,Special Ed AM Run,55224,N800,Other,75029,2025-09-11 06:45:00,2025-09-11 06:46:00,Nassau County,"BORO TRANSIT, INC.",31-45 Min,0,Yes,Yes,No,2025-09-11 06:46:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2013203,Special Ed AM Run,1330,L508,Heavy Traffic,"16018,16267,16409",2025-09-11 07:52:00,2025-09-11 07:53:00,Manhattan,NYC SCHOOL BUS UMBRELLA SERVICES,16-30 Min,0,Yes,No,Yes,2025-09-11 07:53:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2013362,Special Ed AM Run,1605,N230,Heavy Traffic,"02347,02691,02699",2025-09-11 07:00:00,2025-09-11 09:58:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-09-11 09:58:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2013494,Special Ed AM Run,1410,Y216,Heavy Traffic,"08464,08524",2025-09-12 06:25:00,2025-09-12 06:37:00,Bronx,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-09-12 06:37:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2013645,Special Ed AM Run,1423,Q662,Heavy Traffic,30533,2025-09-12 07:48:00,2025-09-12 07:50:00,Manhattan,HOYT TRANSPORTATION CORP.,16-30 Min,3,No,No,No,2025-09-12 07:50:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2013783,Special Ed PM Run,5032,K557,Heavy Traffic,"13067,13461",2025-09-12 13:48:00,2025-09-12 13:50:00,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,16-30 Min,0,Yes,No,Yes,2025-09-12 13:50:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2013912,Special Ed AM Run,21027,Q423,Mechanical Problem,30541,2025-09-15 06:25:00,2025-09-15 06:32:00,Queens,PRIDE TRANSPORTATION (SCH AGE),,0,No,Yes,No,2025-09-15 06:32:00,,1900-01-01 00:00:00,Breakdown,School-Age
2025-2026,2014050,Special Ed AM Run,267,K978,Heavy Traffic,"23396,23471,23697",2025-09-15 07:30:00,2025-09-15 07:32:00,Brooklyn,CAREFUL BUS SERVICE INC (B2192),16-30 Min,0,No,No,No,2025-09-15 07:32:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2014187,Pre-K/EI,GV9396,LSS#4,Heavy Traffic,C322,2025-09-15 08:07:00,2025-09-15 08:10:00,Bronx,"G.V.C., LTD.",16-30 Min,8,Yes,Yes,No,2025-09-15 08:10:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2014334,Special Ed AM Run,9025,K873,Heavy Traffic,"21002,21016,22234,22255",2025-09-16 05:30:00,2025-09-16 05:39:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,1,Yes,Yes,No,2025-09-16 05:39:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2014489,General Ed AM Run,625,X2251,Heavy Traffic,09629,2025-09-16 07:14:00,2025-09-16 07:15:00,Bronx,PIONEER TRANSPORTATION CORP,16-30 Min,24,No,No,No,2025-09-16 07:15:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2014616,Special Ed AM Run,19676,K125,Heavy Traffic,"19029,19460,19753",2025-09-16 07:55:00,2025-09-16 08:05:00,Brooklyn,"BORO TRANSIT, INC.",31-45 Min,0,Yes,No,No,2025-09-16 08:05:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2014750,General Ed AM Run,011,K1521,Heavy Traffic,15404,2025-09-17 05:45:00,2025-09-17 05:47:00,Brooklyn,ALL AMERICAN SCHOOL BUS CORP.,16-30 Min,0,Yes,Yes,Yes,2025-09-17 05:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2014867,Special Ed AM Run,10460,X000,Other,"09014,09042,09699",2025-09-17 06:20:00,2025-09-17 06:55:00,Bronx,"CONSOLIDATED BUS TRANSIT, INC.",46-60 Min,0,No,Yes,No,2025-09-17 06:55:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2015008,Special Ed AM Run,1233,K667,Heavy Traffic,"19015,19466",2025-09-17 07:57:00,2025-09-17 07:58:00,Queens,HOYT TRANSPORTATION CORP.,16-30 Min,10,No,No,No,2025-09-17 07:58:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2015135,Special Ed AM Run,2112,X971,Other,"08464,08524",2025-09-17 14:20:00,2025-09-17 14:34:00,Brooklyn,EMPIRE CHARTER SERVICE INC,31-45 Min,0,No,No,No,2025-09-17 14:34:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2015287,Special Ed AM Run,47,K943,Heavy Traffic,"15854,20015,20887",2025-09-18 06:45:00,2025-09-18 06:47:00,Brooklyn,CAREFUL BUS,16-30 Min,1,No,No,No,2025-09-18 06:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2015421,Special Ed AM Run,1228,Q653,Heavy Traffic,"30291,30442,30443",2025-09-18 07:52:00,2025-09-18 07:53:00,Brooklyn,HOYT TRANSPORTATION CORP.,16-30 Min,7,Yes,Yes,No,2025-09-18 07:53:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2015558,Pre-K/EI,522276,B0413D,Heavy Traffic,E224,2025-09-18 09:00:00,2025-09-18 10:52:00,Brooklyn,L & M BUS CORP.,46-60 Min,0,Yes,Yes,No,2025-09-18 10:52:00,,2025-09-18 12:10:37,Running Late,Pre-K
2025-2026,2015717,Special Ed AM Run,13991,K209,Mechanical Problem,"20784,21002",2025-09-19 06:35:00,2025-09-19 06:36:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),,0,Yes,Yes,No,2025-09-19 06:36:00,,1900-01-01 00:00:00,Breakdown,School-Age
2025-2026,2015850,Pre-K/EI,PL1500,BX06,Other,S163A,2025-09-19 07:20:00,2025-09-19 07:36:00,Bronx,PHILLIPS BUS SERVICE,31-45 Min,0,Yes,Yes,Yes,2025-09-19 07:36:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2015996,Special Ed PM Run,4137,K071,Heavy Traffic,"15024,15172,15371,15481,15721",2025-09-19 13:30:00,2025-09-19 13:38:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-09-19 13:38:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2016145,Special Ed AM Run,16,K891,Heavy Traffic,"20163,20229,20446",2025-09-22 06:27:00,2025-09-22 06:28:00,Brooklyn,CAREFUL BUS,16-30 Min,1,No,No,No,2025-09-22 06:28:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2016270,General Ed AM Run,92404,Q2934,Heavy Traffic,29116,2025-09-22 07:22:00,2025-09-22 07:25:00,Queens,EMPIRE STATE BUS CORP.,16-30 Min,7,No,No,No,2025-09-22 07:25:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2016413,Special Ed AM Run,1448,N272,Problem Run,03910,2025-09-22 07:00:00,2025-09-22 08:38:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-09-22 08:38:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2016538,General Ed AM Run,628,X2100,Other,11014,2025-09-24 07:46:00,2025-09-24 07:47:00,Bronx,PIONEER TRANSPORTATION CORP,0-15 Min,6,Yes,No,No,2025-09-24 07:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2016669,Pre-K/EI,PL1500,BX06,Other,S145,2025-09-25 06:30:00,2025-09-25 06:38:00,Bronx,PHILLIPS BUS SERVICE,31-45 Min,0,Yes,Yes,Yes,2025-09-25 06:38:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2016795,Special Ed AM Run,61802,K156,Heavy Traffic,"17079,17189,17221,17398,17722",2025-09-25 07:16:00,2025-09-25 07:17:00,Brooklyn,EMPIRE STATE BUS CORP.,16-30 Min,6,No,No,No,2025-09-25 07:17:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2016915,Special Ed AM Run,2302,W208,Other,75680,2025-09-25 07:53:00,2025-09-25 07:55:00,Westchester,CHILDREN`S TRANS INC. (B2321),16-30 Min,3,No,No,No,2025-09-25 07:55:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2017074,Special Ed PM Run,363,Y180,Heavy Traffic,"07085,07492,07657",2025-09-25 13:50:00,2025-09-25 13:55:00,Bronx,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-09-25 13:55:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2010747,Special Ed AM Run,2516,L707,Other,"20835,22566,22860",2025-09-04 07:19:00,2025-09-04 07:21:00,Brooklyn,ALL AMERICAN SCHOOL BUS CORP.,31-45 Min,0,Yes,Yes,Yes,2025-09-04 07:21:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2017319,Special Ed AM Run,40,N473,Heavy Traffic,"01020,01188,01450,01539,02516",2025-09-26 07:05:00,2025-09-26 07:07:00,Nassau County,CAREFUL BUS,16-30 Min,1,No,No,No,2025-09-26 07:07:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2017466,Special Ed AM Run,1422,N536,Problem Run,"02324,02918",2025-09-26 07:00:00,2025-09-26 08:53:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-09-26 08:53:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2017588,Special Ed AM Run,52135,Y221,Heavy Traffic,"10017,10020",2025-09-29 05:40:00,2025-09-29 05:45:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-09-29 05:45:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2017733,Special Ed AM Run,32C,R118,Heavy Traffic,31507,2025-09-29 06:58:00,2025-09-29 06:59:00,Staten Island,PIONEER TRANSPORTATION CORP,46-60 Min,0,Yes,No,No,2025-09-29 06:59:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2017885,Special Ed AM Run,1805,L602,Heavy Traffic,"19002,19070,19214,19218,19224",2025-09-29 07:45:00,2025-09-29 07:53:00,Brooklyn,EMPIRE CHARTER SERVICE INC,16-30 Min,6,No,No,No,2025-09-29 07:53:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2018144,Special Ed AM Run,2020,X842,Heavy Traffic,08410,2025-09-30 06:15:00,2025-09-30 06:25:00,Bronx,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,1,Yes,Yes,No,2025-09-30 06:25:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2018350,Special Ed AM Run,542,Q404,Other,"26443,26447",2025-09-30 07:52:00,2025-09-30 07:54:00,Queens,"LORINDA ENTERPRISES, LTD.",46-60 Min,0,Yes,Yes,No,2025-09-30 07:54:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2018541,Special Ed AM Run,24016,Q868,Heavy Traffic,"24298,24883",2025-10-01 05:30:00,2025-10-01 05:32:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-10-01 05:32:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2018720,Special Ed AM Run,61604,K207,Heavy Traffic,"18066,18114,18433",2025-10-01 07:18:00,2025-10-01 07:20:00,Brooklyn,EMPIRE STATE BUS CORP.,16-30 Min,6,No,No,No,2025-10-01 07:20:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2018933,Pre-K/EI,1714,PS28,Delayed by School,S128,2025-10-01 14:00:00,2025-10-01 14:35:00,Bronx,"DON THOMAS BUSES, INC.",16-30 Min,13,Yes,Yes,No,2025-10-01 14:35:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2019117,General Ed AM Run,713,R1171,Heavy Traffic,31546,2025-10-03 06:59:00,2025-10-03 07:00:00,Staten Island,PIONEER TRANSPORTATION CORP,46-60 Min,0,Yes,No,No,2025-10-03 07:00:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2019309,Special Ed AM Run,97,K905,Heavy Traffic,"21736,21741",2025-10-03 08:30:00,2025-10-03 08:31:00,Brooklyn,CAREFUL BUS,16-30 Min,5,No,No,No,2025-10-03 08:31:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2019543,Special Ed AM Run,10471,P688,Heavy Traffic,24755,2025-10-06 06:31:00,2025-10-06 06:34:00,Queens,HOYT TRANSPORTATION CORP.,0-15 Min,1,Yes,Yes,No,2025-10-06 06:34:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2019741,Special Ed AM Run,93,L691,Heavy Traffic,"15038,15261,15443,15447",2025-10-06 08:00:00,2025-10-06 08:02:00,Brooklyn,ALL AMERICAN SCHOOL BUS CORP.,0-15 Min,0,Yes,Yes,No,2025-10-06 08:02:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2019907,General Ed PM Run,624,X9103,Heavy Traffic,"10086,11378",2025-10-06 15:40:00,2025-10-06 15:42:00,Bronx,PIONEER TRANSPORTATION CORP,0-15 Min,0,No,No,No,2025-10-06 15:42:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2020087,Special Ed AM Run,1361,N593,Problem Run,"02490,02698",2025-10-07 06:00:00,2025-10-07 07:12:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-10-07 07:12:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2020274,Special Ed AM Run,10993,K252,Heavy Traffic,20519,2025-10-07 08:00:00,2025-10-07 09:50:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,4,Yes,Yes,No,2025-10-07 09:50:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2012809,Special Ed AM Run,44,K730,Heavy Traffic,"15406,15430",2025-09-10 08:00:00,2025-09-10 08:07:00,Brooklyn,CAREFUL BUS,16-30 Min,0,No,No,No,2025-09-10 08:07:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2020583,Special Ed AM Run,1719,N297,Problem Run,"03710,03712",2025-10-08 06:00:00,2025-10-08 07:50:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-10-08 07:50:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2020726,Special Ed PM Run,5044,K567,Delayed by School,"19011,19036,19346,19445",2025-10-08 14:07:00,2025-10-08 14:08:00,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,0-15 Min,0,Yes,No,Yes,2025-10-08 14:08:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2013713,Pre-K/EI,GV9366,LSW#4,Heavy Traffic,C530,2025-09-12 08:10:00,2025-09-12 08:15:00,Bronx,"G.V.C., LTD.",16-30 Min,8,Yes,Yes,No,2025-09-12 08:15:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2021106,Special Ed PM Run,403,L325,Heavy Traffic,"15093,15481",2025-10-09 13:20:00,2025-10-09 13:25:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-10-09 13:25:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2021271,Special Ed AM Run,21510,K044,Heavy Traffic,"14007,14059,14157,14435",2025-10-10 06:33:00,2025-10-10 06:34:00,Brooklyn,ALLIED TRANSIT CORP.,16-30 Min,5,No,No,No,2025-10-10 06:34:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2021463,Special Ed PM Run,27049,Y210,Heavy Traffic,"08048,08079,08140,08498",2025-10-10 13:25:00,2025-10-10 13:35:00,Manhattan,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,No,No,2025-10-10 13:35:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2021614,Special Ed AM Run,25,K700,Heavy Traffic,"22014,22052,22713",2025-10-14 06:20:00,2025-10-14 06:22:00,Brooklyn,CAREFUL BUS,16-30 Min,1,No,No,No,2025-10-14 06:22:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2021797,Pre-K/EI,9362,188-2,Other,S188,2025-10-14 07:58:00,2025-10-14 08:00:00,Bronx,"G.V.C., LTD.",0-15 Min,10,Yes,Yes,No,2025-10-14 08:00:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2021964,Special Ed AM Run,13992,K161,Heavy Traffic,"17005,17181,17246",2025-10-15 05:30:00,2025-10-15 05:36:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-10-15 05:36:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2022138,Special Ed AM Run,21278,Q020,Heavy Traffic,"27043,27106,27490",2025-10-15 07:00:00,2025-10-15 07:13:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,5,Yes,Yes,No,2025-10-15 07:13:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2022287,Special Ed PM Run,861,Q032,Heavy Traffic,"27053,27197,27253",2025-10-15 13:07:00,2025-10-15 13:16:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,No,No,2025-10-15 13:16:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2022432,Special Ed AM Run,1349,M171,Heavy Traffic,02209,2025-10-16 06:00:00,2025-10-16 06:18:00,Manhattan,L & M BUS CORP (A),61-90 Min,0,Yes,Yes,No,2025-10-16 06:18:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2022625,Special Ed AM Run,82206,M105,Heavy Traffic,02142,2025-10-16 07:45:00,2025-10-16 07:49:00,Manhattan,"BORO TRANSIT, INC.",16-30 Min,0,Yes,Yes,No,2025-10-16 07:49:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2022773,Special Ed AM Run,26023,X847,Mechanical Problem,"08269,08410,08447",2025-10-16 14:24:00,2025-10-16 14:25:00,Bronx,PRIDE TRANSPORTATION (SCH AGE),,0,Yes,Yes,No,2025-10-16 14:25:00,,1900-01-01 00:00:00,Breakdown,School-Age
2025-2026,2022964,Special Ed AM Run,3073,P710,Other,"27013,27226",2025-10-17 13:30:00,2025-10-17 06:50:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-10-17 06:50:00,,2025-10-17 13:31:15,Running Late,School-Age
2025-2026,2023149,Special Ed AM Run,164D,Q888,Other,26077,2025-10-17 08:25:00,2025-10-17 08:48:00,Queens,LITTLE RICHIE BUS SERVICE,46-60 Min,0,No,No,No,2025-10-17 08:48:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2023315,Special Ed AM Run,13991,K161,Heavy Traffic,"17005,17181,17246",2025-10-21 05:20:00,2025-10-21 05:34:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-10-21 05:34:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2023489,Special Ed AM Run,87061,M129,Mechanical Problem,02259,2025-10-21 07:00:00,2025-10-21 07:07:00,Manhattan,"BORO TRANSIT, INC.",,0,Yes,Yes,No,2025-10-21 07:07:00,,1900-01-01 00:00:00,Breakdown,School-Age
2025-2026,2023636,Pre-K/EI,0079,003,Heavy Traffic,C322,2025-10-21 08:02:00,2025-10-21 08:03:00,Bronx,"G.V.C., LTD.",16-30 Min,13,Yes,Yes,No,2025-10-21 08:03:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2023768,Special Ed AM Run,9192,P425,Heavy Traffic,"25163,25463",2025-10-22 05:15:00,2025-10-22 05:21:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-10-22 05:21:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2019452,Special Ed AM Run,9020,Y209,Heavy Traffic,"09004,09015,09042",2025-10-06 05:10:00,2025-10-06 05:14:00,Bronx,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-10-06 05:14:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2024025,Special Ed AM Run,GT1436,Y212,Heavy Traffic,"07155,07412",2025-10-22 07:40:00,2025-10-22 07:42:00,Bronx,"DON THOMAS BUSES, INC. (B2321)",0-15 Min,10,Yes,Yes,No,2025-10-22 07:42:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2024185,Special Ed PM Run,3129,L534,Other,"13067,13461",2025-10-22 02:07:00,2025-10-22 14:09:00,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,31-45 Min,0,Yes,Yes,Yes,2025-10-22 14:09:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2024340,Special Ed AM Run,24016,Q868,Heavy Traffic,"24298,24883",2025-10-23 06:00:00,2025-10-23 06:24:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-10-23 06:24:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2024515,Special Ed AM Run,1754,M635,Heavy Traffic,"02533,02661",2025-10-23 07:45:00,2025-10-23 07:47:00,Manhattan,PHILLIP BUS CORP (B2192),31-45 Min,2,Yes,No,No,2025-10-23 07:47:00,,1900-01-01 00:00:00,Running Late,School-Age
